emoji,emoji_name
:E,awkward
(V)o￥o(V),alien
!(^^)!,amazed
(*_*),amazed
(*_*;,amazed
(+_+),amazed
(@_@),amazed
(@_@。,amazed
(＠_＠;),amazed
＼(◎o◎)／！,amazed
0:),angel=d
0:3,angel
0:‑),angel
0:‑3,angel
0;^),angel
O:),angel
O:‑),angel
>:(,angry
>:[,angry
:-/,annoyed
:/,annoyed
:L,annoyed
:S,annoyed
:\,annoyed
:‑.,annoyed
<(｀^´)>,annoyed
=/,annoyed
=L,annoyed
=\,annoyed
>:/,annoyed
>:\,annoyed
(__),apology
<(_ _)>,apology
<m(__)m>,apology
_(._.)_,apology
_(_^_)_,apology
m(_ _)m,apology
m(__)m,apology
(';'),baby
⎛⎝(•ⱅ•)⎠⎞,bat
◢▅◣,bat
◥▅◤,bat
～°·_·°～,bat
ʕ ·(エ)· ʔ,bear
ʕ – ㉨ – ʔ,bear
ʕ •ᴥ•ʔ,bear
⊂(￣(ｴ)￣)⊃,bear
:###..,being sick
:‑###..,being sick
=:o],bill clinton
●～*,bomb
</3,broken heart
<\3,broken heart
.o○○o.,bubbles
(-_q),calmness
(p_-),calmness
ˊ＿>ˋ,calmness
(=^・^=),cat
(=^・・^=),cat
(=ʘᆽʘ=)∫,cat
:-3,cat
:3,cat
=3,cat
=^_^=,cat
X3,cat
x3,cat
(*^^)v,cheerful
(^^)v,cheerful
(^_^)v,cheerful
(´∀`),cheerful
(⌒▽⌒）,cheerful
(・∀・),cheerful
(＾▽＾),cheerful
(＾ｖ＾),cheerful
（’-’*),cheerful
~:>,chicken
%),confused
%‑),confused
((+_+)),confused
(+o+),confused
(°-°),confused
(°.°),confused
(°_°)(°_°>),confused
(°°),confused
(°レ°),confused
(・・?(?_?),confusion
B-),cool
|;‑),cool
|‑O,cool
( ༎ຶ ۝ ༎ຶ ),crying
('_'),crying
(/_;),crying
(:_;),crying
(;O;),crying
(;_:),crying
(;_;,crying
(;_;),crying
(T_T),crying
(ToT),crying
(Ｔ▽Ｔ),crying
:'(,crying
:'‑(,crying
:=(,crying
;-;,crying
;;,crying
;_;,crying
;n;,crying
Q.Q,crying
QQ,crying
Q_Q,crying
T.T,crying
TnT,crying
( ^^)_U,cup of tea
~~( ^^)_旦~~,cup of tea
uwuUwU,cute
ᕕ( ᐛ )ᕗ,dancing
Ӽd̲̅a̲̅r̲̅w̲̅i̲̅ɳ̲̅ᕗ,darwin fish
ӽd̲̅a̲̅r̲̅w̲̅i̲̅ɳ̲̅ᕗ,darwin fish
"',:-l",disbelief
"',:-|",disbelief
(*￣m￣),dissatisfied
囧,distress
[̲̅$̲̅(̲̅1̲̅)̲̅$̲̅],dollar notes
[̲̅$̲̅(̲̅1̲̅0̲̅)̲̅$̲̅],dollar notes
[̲̅$̲̅(̲̅5̲̅)̲̅$̲̅],dollar notes
[̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅],dollar notes
<:‑|,dumb
5:‑),elvis presley
(⁄ ⁄•⁄ω⁄•⁄ ⁄),embarrassed
:$,embarrassed
://),embarrassed
://3,embarrassed
3:),evil
3:‑),evil
;3,evil
>:),evil
>:3,evil
>:‑),evil
>;),evil
>;‑),evil
}:),evil
}:‑),evil
